Sagarawat Electricals,,,,,
List of Items,,,,,
Name,Parent Group,Unit,Price,Disc,Nett
GLAND PVC PG- 9,INDL,Nos,10,,10
GLAND PVC PG-11,INDL,Nos,15,,15
GLAND PVC PG-13.5,INDL,Nos,15,,15
GLAND PVC PG-16,INDL,Nos,20,,20
GLAND PVC PG-19,INDL,Nos,25,,25
GLAND PVC PG-21,INDL,Nos,25,,25
GLAND PVC PG-29,INDL,Nos,35,,35
GLAND PVC PG-36,INDL,Nos,70,,70
GLASS FUSE,INDL,Nos,10,,10
GLS LAMP 100W ECOLINK,EcoLink EC,Nos,15,,15
GM EXTENSION BOX SQUARE,GM,Nos,300,,300
GM EXTENSION BOX TRIO,GM,Nos,300,,300
GM MALE FEMALE,GM,Nos,40,,40
GM PENDENT HOLDER,GM,Nos,30,,30
GM POWERSTRIP 4+1,GM,Nos,450,,450
GM THREE PIN TOP  6A,GM,Nos,85,25,63.75
GM TWO PIN TOP  6A,GM,Nos,20,,20
GOLDMEDAL DINGDONG BELL OCEAN,GOLDMEDAL,Nos,150,,150
GOLDMEDAL MUSICAL BELL GSHELL,GOLDMEDAL,Nos,300,,300
GOLDMEDAL MUSICAL BELL GSPACE,GOLDMEDAL,Nos,330,,330
GOLDMEDAL MUSICAL BELL POLYGON,GOLDMEDAL,Nos,250,,250
GOLDMEDAL MUSICAL BELL SALSA,GOLDMEDAL,Nos,380,,380
GOLDMEDAL WATER LEVEL BELL,GOLDMEDAL,Nos,400,,400
HAND LAMP,INDL,Nos,450,,450
HANDGLOVES 33KV,INDL,Nos,1100,,1100
HARDWARE GI,GI,Nos,10,,10
HAVELLS SWIITCHGEAR,INDL,Nos,9000,,9000
HEAT SHRINK SLEEVE 12mm POLY,INDL,Mtr,50,,50
HEAT SHRINK SLEEVE 18mm,INDL,Mtr,100,,100
HEAT SHRINK SLEEVE 30mm,INDL,Mtr,150,,150
HEAT SHRINK SLEEVE 3mm POLY,INDL,Mtr,20,,20
HEAT SHRINK SLEEVE 6mm POLY,INDL,Mtr,30,,30
HEAT SINK PASTE,LED,Nos,350,,350
HEATER,INDL,Nos,800,,800
HENSEL J BOX IP66 DK-1000,INDL,Nos,950,,950
HENSEL J BOX IP66 DK-2500,INDL,Nos,2600,,2600
HENSEL J BOX IP66 DK-5000,INDL,Nos,3800,,3800
HIFI BED SWITCH 6A ONE WAY,HIFI,Nos,30,,30
HIFI BELL PUSH 6A 1M,HIFI,Nos,100,45,55
HIFI BELL PUSH 6A 2M,HIFI,Nos,149,45,81.95
HIFI BLANK PLATE,HIFI,Nos,22,45,12.1
HIFI C. ROSE GOLD,HIFI,Nos,53,45,29.15
HIFI DINGDONG BELL,HIFI,Nos,150,,150
HIFI DINGDONG BELL STEREO BIG,HIFI,Nos,200,,200
HIFI DNGO A. HOLDER,HIFI,Nos,88,45,48.4
HIFI DNGO B. HOLDER,HIFI,Nos,88,45,48.4
HIFI DNGO BELL PUSH 1M,HIFI,Nos,111,45,61.05
HIFI DNGO PLATE  1M,HIFI,Nos,95,45,52.25
HIFI DNGO PLATE  2M,HIFI,Nos,95,45,52.25
HIFI DNGO PLATE  3M,HIFI,Nos,120,45,66
HIFI DNGO PLATE  4M,HIFI,Nos,157,45,86.35
HIFI DNGO PLATE  6/7M,HIFI,Nos,226,45,124.3
HIFI DNGO PLATE  8M HZ,HIFI,Nos,277,45,152.35
HIFI DNGO PLATE  8M SQ,HIFI,Nos,277,45,152.35
HIFI DNGO PLATE 12/14M,HIFI,Nos,326,45,179.3
HIFI DNGO PLATE 16M,HIFI,Nos,452,45,248.6
HIFI DNGO PLATE 18/21M,HIFI,Nos,471,45,259.05
HIFI DNGO SWITCH  16A 2 WAY,HIFI,Nos,157,45,86.35
HIFI DNGO SWITCH  6A 1 WAY,HIFI,Nos,18,,18
HIFI DNGO SWITCH  6A 2 WAY,HIFI,Nos,109,45,59.95
HIFI DNGO SWITCH 16A. INDICATOR,HIFI,Nos,157,45,86.35
HIFI DP SWITCH 32A,HIFI,Nos,342,45,188.1
HIFI ELECTRONIC BUZZER,HIFI,Nos,321,45,176.55
HIFI EXTENSION BOX RHINO,HIFI,Nos,280,,280
HIFI FLATINO BELL PUSH 6A 1M,HIFI,Nos,105,45,57.75
HIFI FLATINO BELL PUSH 6A 2M,HIFI,Nos,162,45,89.1
HIFI FLATINO DP SWITCH 32A,HIFI,Nos,375,45,206.25
HIFI FLATINO SWITCH  6A 1 WAY,HIFI,Nos,16,,16
HIFI FLATINO SWITCH  6A 2 WAY,HIFI,Nos,100,45,55
HIFI FLATINO SWITCH 16A. 2 WAY,HIFI,Nos,177,45,97.35
HIFI FLATINO SWITCH 16A. INDICATOR,HIFI,Nos,138,45,75.9
HIFI FUSE UNIT 16A,HIFI,Nos,138,45,75.9
HIFI INDICATOR,HIFI,Nos,85,45,46.75
HIFI LEE WH PLATE  1M,HIFI,Nos,75,45,41.25
HIFI LEE WH PLATE  2M,HIFI,Nos,75,45,41.25
HIFI LEE WH PLATE  3M,HIFI,Nos,95,45,52.25
HIFI LEE WH PLATE  4M,HIFI,Nos,112,45,61.6
HIFI LEE WH PLATE  6M,HIFI,Nos,160,45,88
HIFI LEE WH PLATE  8M HZ,HIFI,Nos,200,45,110
HIFI LEE WH PLATE  8M SQ,HIFI,Nos,200,45,110
HIFI LEE WH PLATE 12M,HIFI,Nos,244,45,134.2
HIFI LEE WH PLATE 16M,HIFI,Nos,301,45,165.55
HIFI LEE WH PLATE 18M,HIFI,Nos,335,45,184.25
HIFI LIGHT DIMMER 1M,HIFI,Nos,278,45,152.9
HIFI MALE FEMALE,HIFI,Nos,30,,30
HIFI MCB DB SPN  4W DD,HIFI,Nos,1030,45,566.5
HIFI MCB DB SPN 16W DD,HIFI,Nos,1850,45,1017.5
HIFI MCB DB TPN  4W DD,HIFI,Nos,3080,45,1694
HIFI MCB DB TPN  6W DD,HIFI,Nos,3770,45,2073.5
HIFI MCB DPC 16A,HIFI,Nos,480,45,264
HIFI MCB DPC 32A,HIFI,Nos,480,45,264
HIFI MCB DPC 40A,HIFI,Nos,698,45,383.9
HIFI MCB FPC 32A,HIFI,Nos,1196,35,777.4
HIFI MCB FPC 63A,HIFI,Nos,1623,35,1054.95
HIFI MCB MODULAR  6A SP,HIFI,Nos,248,45,136.4
HIFI MCB MODULAR 10A SP,HIFI,Nos,248,45,136.4
HIFI MCB MODULAR 16A SP,HIFI,Nos,248,45,136.4
HIFI MCB MODULAR 20A SP,HIFI,Nos,248,45,136.4
HIFI MCB MODULAR 25A SP,HIFI,Nos,248,45,136.4
HIFI MCB MODULAR 32A DP,HIFI,Nos,589,45,323.95
HIFI MCB MODULAR 32A SP,HIFI,Nos,248,45,136.4
HIFI MCB SPC 10A,HIFI,Nos,177,45,97.35
HIFI MCB SPC 16A,HIFI,Nos,177,45,97.35
HIFI MCB SPC 20A,HIFI,Nos,177,45,97.35
HIFI MCB SPC 25A,HIFI,Nos,177,45,97.35
HIFI MCB SPC 32A,HIFI,Nos,177,45,97.35
HIFI MCB TPC 16A,HIFI,Nos,921,35,598.65
HIFI MCB TPC 32A,HIFI,Nos,921,35,598.65
HIFI MCB TPC 40A,HIFI,Nos,982,35,638.3
HIFI MCB TPC 63A,HIFI,Nos,1124,35,730.6
HIFI MINI LIGHT 2M,HIFI,Nos,351,45,193.05
HIFI MULTI PLUG DICI,HIFI,Nos,100,,100
HIFI MULTI PLUG ZICO,HIFI,Nos,100,,100
HIFI PARROT BELL,HIFI,Nos,200,,200
HIFI PEARL MUSICAL BELL,HIFI,Nos,300,,300
HIFI PENDENT HOLDER,HIFI,Nos,25,,25
HIFI REMOTE BELL,HIFI,Nos,600,,600
HIFI SKRT LIGHT 3M,HIFI,Nos,387,45,212.85
HIFI SOCKET  6A.,HIFI,Nos,72,45,39.6
HIFI SOCKET 13A M. STD,HIFI,Nos,180,45,99
HIFI SOCKET 16A.,HIFI,Nos,192,45,105.6
HIFI SS COMB 16A Double With Box,HIFI,Nos,300,,300
HIFI SS COMB 16A with Box,HIFI,Nos,150,,150
HIFI STEP FAN REGULATOR 1M,HIFI,Nos,380,45,209
HIFI STEP FAN REGULATOR 2M,HIFI,Nos,441,45,242.55
HIFI SUB METER 1 PHASE,HIFI,Nos,450,,450
HIFI SURFACE DP SWITCH PORC.,HIFI,Nos,150,,150
HIFI SWITCH  6A 1 WAY,HIFI,Nos,15,,15
HIFI SWITCH  6A 2 WAY,HIFI,Nos,92,45,50.6
HIFI SWITCH 16A. 2Way,HIFI,Nos,173,45,95.15
HIFI SWITCH 16A. INDICATOR,HIFI,Nos,130,45,71.5
HIFI TELEPHONE JACK,HIFI,Nos,110,45,60.5
HIFI THREE PIN TOP  6A,HIFI,Nos,50,,50
HIFI THREE PIN TOP 16A,HIFI,Nos,70,,70
HIFI TV SOCKET,HIFI,Nos,105,45,57.75
HIFI TWO PIN SOCKET,HIFI,Nos,75,45,41.25
HIFI TWO PIN TOP  6A,HIFI,Nos,15,,15
HIFI UNI TRAVEL ADOPTER,HIFI,Nos,200,,200
HILLS SF COB 04W,NEON+ LED,Nos,,,
HOLDER,General,Nos,30,,30
HOLDER PORCELAIN 2 SLOT,General,Nos,40,,40
HOLDER PORCELAIN 250/400W,General,Nos,80,,80
HOLDER PORCELAIN 70W,General,Nos,80,,80
HOOTER INDL  VAISHNO,INDL,Nos,700,,700
HRC FUSE BASE 00 SIZE,INDL,Nos,185,,185
HRC FUSE BASE NS,INDL,Nos,95,,95
HS CABLE END CAP  16-35 mm,ELECHEM,Nos,150,,150
HS CABLE END CAP  50-95 mm,ELECHEM,Nos,200,,200
HS CABLE END CAP 120-185 mm,ELECHEM,Nos,250,,250
HS CABLE END CAP 240-300 mm,ELECHEM,Nos,350,,350
HS OUTDOOR JOINT KIT  10-25 mm,ELECHEM,Set,950,,950
HS OUTDOOR JOINT KIT  25-50 mm,ELECHEM,Set,1300,,1300
HS OUTDOOR JOINT KIT  70-120 mm,ELECHEM,Set,1500,,1500
HS OUTDOOR JOINT KIT 150-240 mm,ELECHEM,Set,1800,,1800
HS OUTDOOR JOINT KIT 300-400 mm,ELECHEM,Set,2400,,2400
HS OUTDOOR SLEEVE  16-35 mm,ELECHEM,Mtr,200,,200
HS OUTDOOR SLEEVE  50-95 mm,ELECHEM,Mtr,250,,250
HS OUTDOOR SLEEVE 120-185 mm,ELECHEM,Mtr,350,,350
HS OUTDOOR SLEEVE 240-300 mm,ELECHEM,Mtr,450,,450
HS OUTDOOR TERM. KIT 11KV  70-95 mm,ELECHEM,Set,2250,,2250
HS OUTDOOR TERM. KIT 11KV 120-185 mm,ELECHEM,Set,3000,,3000
HS OUTDOOR TERM. KIT 11KV 240-300 mm,ELECHEM,Set,2950,,2950
HS OUTDOOR TERM. KIT 33KV  70-95 mm,ELECHEM,Set,6500,,6500
HS OUTDOOR TERM. KIT 33KV 120-185 mm,ELECHEM,Set,7500,,7500
HS OUTDOOR TERM. KIT 33KV 240-300 mm,ELECHEM,Set,7900,,7900
IDEAL LIMIT SWITCH,INDL,Nos,600,,600
IDEAL MBL 6-SOCKET BOX,INDL,Nos,400,,400
IDEAL MBL PLUG 16A-3P,INDL,Nos,135,,135
IDEAL MBL PLUG 32A-3P,INDL,Nos,210,,210
IDEAL MBL PLUG 32A-5P,INDL,Nos,250,,250
IDEAL MBL SOCKET 16A-3P,INDL,Nos,150,,150
IDEAL MBL SOCKET 16A-3P - 3 WAY,INDL,Nos,400,,400
IDEAL MBL SOCKET 32A-3P,INDL,Nos,235,,235
IDEAL MBL SOCKET 32A-5P,INDL,Nos,350,,350
IDEAL MINI SIREN,INDL,Nos,700,,700
IDEAL WALL SOCKET 16A-3P,INDL,Nos,170,,170
IDEAL WALL SOCKET 32A-3P,INDL,Nos,250,,250
IDEAL WALL SOCKET 32A-5P,INDL,Nos,370,,370
IMMERSION ROD 1500W ALRON,APPLIANCES,Nos,390,,390
IMMERSION ROD 1500W CROMPTON,APPLIANCES,Nos,550,,550
INDL J. BOX ABS 100x100x70mm,INDL,Nos,150,,150
INDL J. BOX ABS 200x155x80mm,INDL,Nos,250,,250
INDL J. BOX ABS 255x200x80mm,INDL,Nos,350,,350
INDL J. BOX ABS 300x250x120mm,INDL,Nos,650,,650
INDL. SWITCHGEAR,INDL,Nos,,,
INDUSTRIAL PANEL,INDL,Nos,70000,,70000
INSULATOR PORC,INDL,Nos,40,,40
JJI CLOSURE BUSH 25MM,JJI,Nos,1,,1
JJI FAN PLATE,JJI,Nos,12,,12
JJI J. BOX DEEP 25MM BLACK,JJI,Nos,10,,10
JJI J. BOX DEEP 25MM IVORY,JJI,Nos,15,,15
JJI J. BOX SURF 25MM BLACK,JJI,Nos,7,,7
JJI J. BOX SURF 25MM IVORY,JJI,Nos,12,,12
JJI J. BOX SURF 25MM SIX LINE,JJI,Nos,12,,12
JJI J. BOX SURF 25MM TWO LINE,JJI,Nos,12,,12
"JJI ROUND PLATE 4"",JJI,Nos,5.00,,5.00
JJI ROUND PLATE 5""""",JJI,Nos,6,,6
JJI ROUND PLATE DUMMY SLIM,JJI,Nos,4,,4
JJI TEE 25MM GRY,JJI,Nos,5,,5
JOB WORK,General,N.A.,100,,100
JUPITER BED SPOT LIGHT - 5 WATT,JUPITER LED,Nos,450,,450
JUPITER BOLLARD 200MM J1103 - 10 WATT,JUPITER LED,Nos,1700,,1700
JUPITER BOLLARD 800MM J1101 - 10 WATT,JUPITER LED,Nos,2750,,2750
JUPITER BULKHEAD LIGHT J253 - 15 WATT,JUPITER LED,Nos,670,,670
JUPITER BULKHEAD LIGHT J262 - 10 WATT,JUPITER LED,Nos,200,,200
JUPITER DAZZLE LIGHT J093 -  5 WATT,JUPITER LED,Nos,500,,500
JUPITER DAZZLE LIGHT J093 -  9 WATT,JUPITER LED,Nos,600,,600
JUPITER DISCO LIGHT MC J003 - 12 WATT,JUPITER LED,Nos,1025,,1025
JUPITER DISCO LIGHT MC J005 - 12 WATT,JUPITER LED,Nos,950,,950
JUPITER DISCO LIGHT MC J005 - 18 WATT,JUPITER LED,Nos,990,,990
JUPITER FOOT LIGHT J012 -  2 WATT,JUPITER LED,Nos,240,,240
JUPITER FOOT LIGHT J203 -  3 WATT,JUPITER LED,Nos,300,,300
JUPITER I/D WALL LIGHT J255 -  6 WATT,JUPITER LED,Nos,630,,630
JUPITER LED CYLINDER COB J505 - 10 WATT,JUPITER LED,Nos,400,,400
JUPITER LED FLD LIGHT J851- 100W,JUPITER LED,Nos,2000,,2000
JUPITER LED FLD LIGHT J851- 50W,JUPITER LED,Nos,1200,,1200
JUPITER LED SMD ROPE 2835 J2835,JUPITER LED,Mtr,60,,60
JUPITER LED SMD ROPE CON. 2835 JSP051,JUPITER LED,Nos,60,,60
JUPITER LED TRACK LIGHT BASE JSP001,JUPITER LED,Nos,60,,60
JUPITER LED TRACK LIGHT J604 - 10 WATT,JUPITER LED,Nos,500,,500
JUPITER LED TRACK LIGHT J604 - 20 WATT,JUPITER LED,Nos,900,,900
JUPITER LINER LIGHT J151 -  6 WATT,JUPITER LED,Nos,250,,250
JUPITER LINER LIGHT J151 - 12 WATT,JUPITER LED,Nos,400,,400
JUPITER O/D LIGHT J258 -  5 WATT,JUPITER LED,Nos,625,,625
JUPITER O/D LIGHT J258 - 2 X 5 WATT,JUPITER LED,Nos,950,,950
JUPITER O/D WALL LIGHT J095 - 2 X 5 WATT,JUPITER LED,Nos,660,,660
JUPITER O/D WALL LIGHT J096 - 2 X 3 WATT,JUPITER LED,Nos,660,,660
JUPITER O/D WALL LIGHT J150 - 2 X 3 WATT,JUPITER LED,Nos,500,,500
JUPITER O/D WALL LIGHT J252 - 10 WATT,JUPITER LED,Nos,600,,600
JUPITER O/D WALL LIGHT J261 - 2 X 5 WATT,JUPITER LED,Nos,950,,950
JUPITER O/D WALL LIGHT J263 -  5 WATT,JUPITER LED,Nos,600,,600
JUPITER O/D WALL LIGHT J263 - 2 X 5 WATT,JUPITER LED,Nos,800,,800
JUPITER O/D WALL LIGHT J264 - 1 X 4 WATT,JUPITER LED,Nos,500,,500
JUPITER O/D WALL LIGHT J266 - 2 X 5 WATT,JUPITER LED,Nos,1275,,1275
JUPITER O/D WALL LIGHT J267 - 1 X 2 WATT,JUPITER LED,Nos,320,,320
JUPITER O/D WALL LIGHT J267 - 2 X 2 WATT,JUPITER LED,Nos,350,,350
JUPITER O/D WALL LIGHT J268 - 2 X 5 WATT,JUPITER LED,Nos,650,,650
JUPITER O/D WALL LIGHT J270 - 6 X 1 WATT,JUPITER LED,Nos,675,,675
JUPITER O/D WALL LIGHT J270 - 6 X 3 WATT,JUPITER LED,Nos,750,,750
JUPITER O/D WALL LIGHT J271 - 5 X 3 WATT,JUPITER LED,Nos,800,,800
JUPITER O/D WALL LIGHT J272 - 2 X 1 WATT,JUPITER LED,Nos,250,,250
JUPITER O/D WALL LIGHT J275 - 3 X 3 WATT,JUPITER LED,Nos,720,,720
JUPITER OUTDOOR LED FOOT LIGHT 2W,JUPITER LED,Nos,350,,350
JUPITER PICTURE LIGHT J002 - 10 WATT,JUPITER LED,Nos,450,,450
JUPITER PICTURE LIGHT J010 - 15 WATT,JUPITER LED,Nos,1000,,1000
JUPITER PICTURE LIGHT J010 - 9 WATT,JUPITER LED,Nos,600,,600
JUPITER PICTURE LIGHT J064 - 4 WATT,JUPITER LED,Nos,350,,350
JUPITER PICTURE LIGHT J064 - 8 WATT,JUPITER LED,Nos,700,,700
JUPITER PICTURE LIGHT J151 - 15 WATT,JUPITER LED,Nos,400,,400
JUPITER PICTURE LIGHT J154 - 12 WATT,JUPITER LED,Nos,530,,530
JUPITER PICTURE LIGHT J155 - 15 WATT,JUPITER LED,Nos,625,,625
JUPITER PICTURE LIGHT J707 - 2 X 9 WATT,JUPITER LED,Nos,950,,950
JUPITER PICTURE LIGHT J707 - 9 WATT,JUPITER LED,Nos,490,,490
JUPITER PICTURE LIGHT J708 - 9 WATT,JUPITER LED,Nos,500,,500
JUPITER SOLID STRIP LIGHT J007 -  5 WATT,JUPITER LED,Nos,210,,210
JUPITER SOLID STRIP LIGHT J007 - 10 WATT,JUPITER LED,Nos,350,,350
JUPITER SOLID STRIP LIGHT J007 - 15 WATT,JUPITER LED,Nos,500,,500
JUPITER SOLID STRIP LIGHT J007 - 20 WATT,JUPITER LED,Nos,650,,650
JUPITER SPIKE LIGHT J075 -  5 WATT,JUPITER LED,Nos,500,,500
JUPITER SPIKE LIGHT J801 - 10 WATT,JUPITER LED,Nos,950,,950
JUPITER SPOT LIGHT J014 -  3 WATT,JUPITER LED,Nos,350,,350
JUPITER SPOT LIGHT J054 - 10 WATT,JUPITER LED,Nos,550,,550
JUPITER SURF LIGHT J025 - 15 WATT,JUPITER LED,Nos,320,,320
JUPITER SURF LIGHT J057 - 20 WATT,JUPITER LED,Nos,420,,420
JUPITER SURF LIGHT J113 - 12 WATT,JUPITER LED,Nos,420,,420
JUPITER WALL LAMP LIGHT J1002 - 9 WATT,JUPITER LED,Nos,570,,570
JUPITER WALL LIGHT J060 - 30 WATT,JUPITER LED,Nos,1680,,1680
JUPITER WALL LIGHT J705 - 4 WATT,JUPITER LED,Nos,500,,500
KEI ALU AMD CABLE  4C X 10SQ.MM,CABLES,Mtr,140,,140
KYORITSU RCD TESTER - 5406A,INDL,Nos,34000,,34000
LED AVIATION LIGHT,INDL,Nos,3960,,3960
LED DRIVER 10A - ECONOMY - 1 YEAR WRNTY,LED,Nos,600,,600
LED DRIVER 20A - ECONOMY - 1 YEAR WRNTY,LED,Nos,850,,850
LED FITTING,CROMPTON LUMS,Nos,1850,,1850
LED GATE LIGHT,LIGHTING,Nos,1600,,1600
LED INDICATOR 16MM,INDL,Nos,60,,60
LED INDICATOR 22.5MM,INDL,Nos,60,,60
LED INDICATOR WITH V/AMP DISP.,INDL,Nos,350,,350
LED INDICATOR WITH V/AMP/FRQNCY DISP.,INDL,Nos,400,,400
LED INDICATOR WITH VOLT DISP.,INDL,Nos,220,,220
LED JUNC.  3 WATT,SMD,Nos,90,,90
LED JUNC.  6 WATT,SMD,Nos,140,,140
LED JUNC.  8 WATT RAINBOW,SMD,Nos,170,,170
LED LAMP  0.5 WATT,PHILIPS,Nos,30,,30
LED LAMP  0.5 WATT PIN TYPE,PHILIPS,Nos,75,,75
LED LAMP  3 WATT,CROMPTON LSRD,Nos,40,,40
LED LAMP  5 WATT,CROMPTON LSRD,Nos,40,,40
LED LAMP 10 WATT,CROMPTON LSRD,Nos,60,,60
LED PROFILE DG-A-001 18mm (2 Mtr) C-1708,NEON+ LED,Nos,150,,150
LED PROFILE DG-A-002 18mm (2 Mtr) S-1708,NEON+ LED,Nos,150,,150
LED PROFILE DG-A-003 18mm (2 Mtr) C-1712,NEON+ LED,Nos,260,,260
LED PROFILE DG-A-004 18mm (2 Mtr) S-1712,NEON+ LED,Nos,260,,260
LED PROFILE DG-A-005 25mm (2 Mtr) C-2508,NEON+ LED,Nos,250,,250
LED PROFILE DG-A-008 18mm (2 Mtr) C-1616,NEON+ LED,Nos,230,,230
LED PROFILE DG-A-014 25mm (2 Mtr) S-2508,NEON+ LED,Nos,370,,370
LED PROFILE DG-A-015 35mm (2.4 Mtr),NEON+ LED,Nos,1400,,1400
LED PROFILE DG-A-016 50mm (2.4 Mtr),NEON+ LED,Nos,1600,,1600
LED PROFILE DG-A-019 35mm (2.4 Mtr),NEON+ LED,Nos,1400,,1400
LED PROFILE DG-A-043  8mm (2 Mtr),NEON+ LED,Nos,140,,140
LED PROFILE DG-A-044 10mm (2 Mtr),NEON+ LED,Nos,180,,180
LED PROFILE DG-A-069 12mm (2 Mtr),NEON+ LED,Nos,170,,170
LED PROFILE DG-A-077 30mm (2 Mtr),NEON+ LED,Nos,,,
LED SPARE,LIGHTING,Nos,200,,200
LED STRIP 2835/240 LED ECONOMY,LED,Mtr,90,,90
LEGEND PLATE 22.5mm,INDL,Nos,5,,5
LEGRAND ADV BLUE LED LOCATOR A186,ARTEOR ADV,Nos,108,47,57.24
LEGRAND ADV MB BELL SWITCH 2M-AC23112MB,ARTEOR ADV,Nos,1048,47,555.44
LEGRAND ADV MB LANK PLATE -AC150MB,LEGRAND BRITZY,Nos,80,40,48
LEGRAND ADV MB SOCKET  6A-AC3163MB,ARTEOR ADV,Nos,472,47,250.16
LEGRAND ADV MB SOCKET 16A-AC3166MB,ARTEOR ADV,Nos,922,47,488.66
LEGRAND ADV MB STEP FAN 1M ST-AC661MB,ARTEOR ADV,Nos,1848,47,979.44
LEGRAND ADV MB STEP FAN 2M 8ST-AC664MB,ARTEOR ADV,Nos,2164,47,1146.92
LEGRAND ADV MB SWITCH 10A1W-AC21104MB,ARTEOR ADV,Nos,306,47,162.18
LEGRAND ADV MB SWITCH 10A2W-AC22105MB,ARTEOR ADV,Nos,558,47,295.74
LEGRAND ADV MB SWITCH 16A1W-AC21118MB,ARTEOR ADV,Nos,640,47,339.2
LEGRAND ADV MB SWITCH 16A2W-AC22101MB,ARTEOR ADV,Nos,800,47,424
LEGRAND ADV MB SWITCH 20ADP-AC21113MB,ARTEOR ADV,Nos,1534,47,813.02
LEGRAND ADV MT BELL SWITCH 2M-AC23112MT,ARTEOR ADV,Nos,1048,47,555.44
LEGRAND ADV MT BLANK PLATE -AC150MT,ARTEOR ADV,Nos,80,47,42.4
LEGRAND ADV MT SKIRTING LIGHT 3M-AC653MT,ARTEOR ADV,Nos,1900,47,1007
LEGRAND ADV MT SOCKET  6A-AC3163MT,ARTEOR ADV,Nos,472,47,250.16
LEGRAND ADV MT SOCKET 16A-AC3166MT,ARTEOR ADV,Nos,922,47,488.66
LEGRAND ADV MT STEP FAN 1M ST-AC661MT,ARTEOR ADV,Nos,1848,47,979.44
LEGRAND ADV MT STEP FAN 2M 8ST-AC664MT,ARTEOR ADV,Nos,2164,47,1146.92
LEGRAND ADV MT SWITCH 10A1W-AC21104MT,ARTEOR ADV,Nos,306,47,162.18
LEGRAND ADV MT SWITCH 10A2W-AC22105MT,ARTEOR ADV,Nos,558,47,295.74
LEGRAND ADV MT SWITCH 16A1W-AC21118MT,ARTEOR ADV,Nos,640,47,339.2
LEGRAND ADV MT SWITCH 16A2W-AC22101MT,ARTEOR ADV,Nos,818,47,433.54
LEGRAND ADV MT SWITCH 20ADP-AC21113MT,ARTEOR ADV,Nos,1534,47,813.02
LEGRAND ADV MT USB CHARGER C-1M-AC3409MT,ARTEOR ADV,Nos,7596,47,4025.88
LEGRAND ADV MT USB CHARGER C-1M-AC3411MT,ARTEOR ADV,Nos,5288,47,2802.64
LEGRAND ADV WH BELL SWITCH 2M-AC23112MW,ARTEOR ADV,Nos,914,47,484.42
LEGRAND ADV WH BLANK PLATE -AC150MW,ARTEOR ADV,Nos,82,47,43.46
LEGRAND ADV WH SOCKET  6A-AC3163MW,ARTEOR ADV,Nos,404,47,214.12
LEGRAND ADV WH SOCKET 16A-AC3166MW,ARTEOR ADV,Nos,818,47,433.54
LEGRAND ADV WH STEP FAN 1M AC661MW,ARTEOR ADV,Nos,1604,47,850.12
LEGRAND ADV WH STEP FAN 2M 8ST-AC664MW,ARTEOR ADV,Nos,1886,47,999.58
LEGRAND ADV WH SWITCH 10A1W-AC21104MW,ARTEOR ADV,Nos,264,47,139.92
LEGRAND ADV WH SWITCH 10A2W-AC22105MW,ARTEOR ADV,Nos,432,47,228.96
LEGRAND ADV WH SWITCH 16A1W-AC21118MW,ARTEOR ADV,Nos,562,47,297.86
LEGRAND ADV WH SWITCH 16A2W-AC22101MW,ARTEOR ADV,Nos,690,47,365.7
LEGRAND ADV WH SWITCH 20ADP-AC21113MW,ARTEOR ADV,Nos,1302,47,690.06
LEGRAND ADV WH TELE JACK 1M AC424MW,ARTEOR ADV,Nos,434,47,230.02
LEGRAND ADV WH USB CRG 2M C+C AC3406MW,ARTEOR ADV,Nos,10610,47,5623.3
LEGRAND ALLZY CHAMP PLATE  1M 681344,LEGRAND ALLZY,Nos,194,55,87.3
LEGRAND ALLZY CHAMP PLATE  2M 681345,LEGRAND ALLZY,Nos,194,55,87.3
LEGRAND ALLZY CHAMP PLATE  3M 681346,LEGRAND ALLZY,Nos,262,55,117.9
LEGRAND ALLZY CHAMP PLATE  4M 681347,LEGRAND ALLZY,Nos,284,55,127.8
LEGRAND ALLZY CHAMP PLATE  6M 681348,LEGRAND ALLZY,Nos,420,55,189
LEGRAND ALLZY CHAMP PLATE  8M HZ 681349,LEGRAND ALLZY,Nos,468,55,210.6
LEGRAND ALLZY CHAMP PLATE  8M SQ 681350,LEGRAND ALLZY,Nos,468,55,210.6
LEGRAND ALLZY CHAMP PLATE 12M 681352,LEGRAND ALLZY,Nos,676,55,304.2
LEGRAND ALLZY CHAMP PLATE 16M 681353,LEGRAND ALLZY,Nos,734,55,330.3
LEGRAND ALLZY CHAMP PLATE 18M 681354,LEGRAND ALLZY,Nos,778,55,350.1
LEGRAND ALLZY GOLD PLATE  1M 681333,LEGRAND ALLZY,Nos,194,55,87.3
LEGRAND ALLZY GOLD PLATE  2M 681334,LEGRAND ALLZY,Nos,194,55,87.3
LEGRAND ALLZY GOLD PLATE  3M 681335,LEGRAND ALLZY,Nos,262,55,117.9
LEGRAND ALLZY GOLD PLATE  4M 681336,LEGRAND ALLZY,Nos,284,55,127.8
LEGRAND ALLZY GOLD PLATE  6M 681337,LEGRAND ALLZY,Nos,420,55,189
LEGRAND ALLZY GOLD PLATE  8M HZ 681338,LEGRAND ALLZY,Nos,468,55,210.6
LEGRAND ALLZY GOLD PLATE  8M SQ 681339,LEGRAND ALLZY,Nos,468,55,210.6
LEGRAND ALLZY GOLD PLATE 12M 681341,LEGRAND ALLZY,Nos,676,55,304.2
